round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,llm_control_action,llm_anchor_l1_limit,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,validation_source,strict_checkpoint_policy,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,llm_strict_generative_coherence,0.0005,20,0.999959439175314,3667854.5593607305,3067836.6369863013,-0.999959439175314,0.0,0.0,fedyogi,1.0,0.5,1.0,13.036936016538236,9.40829724423636,False,True,False,balanced,0.05,,,,,,,,,,,client_reported,final_round,0.9999087452888489,148,1566.158251953125,13.202980828336942,13.202980828336942,1.9998174905776978,0.9999753832817078,150,1602.8050048828125,12.958765266907944,12.958765266907944,1.9999507665634155,0.9999959468841553,140,1353.9193359375,13.438986621784245,13.438986621784245,1.9999918937683105,0.3378995433789954,0.3424657534246575,0.319634703196347
2,llm_strict_generative_coherence,0.0005,20,0.9998406528337905,3666990.493150685,3067241.9760273974,-0.9998406528337905,0.0,0.0,fedyogi,1.0,0.5,1.0,5.735523429417756,5.042715525275087,False,True,True,balanced,0.05,,,,,,,,,,,client_reported,final_round,0.9997621774673462,148,1484.355078125,6.213551133147272,6.213551133147272,1.9995243549346924,0.9998189806938171,150,1492.4591552734375,6.195117742945046,6.195117742945046,1.9996379613876343,0.9999468326568604,140,1278.950341796875,5.910354602214397,5.910354602214397,1.9998936653137207,0.3378995433789954,0.3424657534246575,0.319634703196347
3,llm_strict_generative_coherence,0.0005,20,0.9996033789904695,3665650.5182648404,3066236.2020547944,-0.9996033789904695,0.0,0.0,fedyogi,1.0,0.5,1.0,6.294149164785799,3.825860277298507,False,True,True,balanced,0.05,,,,,,,,,,,client_reported,final_round,0.9994995594024658,148,1381.529541015625,7.750319586534801,7.750319586534801,1.9989991188049316,0.9995824694633484,150,1412.292919921875,6.80457055837423,6.80457055837423,1.9991649389266968,0.9997355341911316,140,1197.5781982421875,5.381166033417923,5.381166033417923,1.9994710683822632,0.3378995433789954,0.3424657534246575,0.319634703196347
4,llm_strict_generative_coherence,0.0005,20,0.99917467843452,3663777.9337899545,3064688.615296804,-0.99917467843452,0.0,0.0,fedyogi,1.0,0.5,1.0,6.504606497759034,4.4610003399313385,False,True,True,balanced,0.05,,,,,,,,,,,client_reported,final_round,0.9992379546165466,148,1311.9447265625,7.563042799048333,7.563042799048333,1.9984759092330933,0.9990599751472473,150,1337.39638671875,7.3023214517476545,7.3023214517476545,1.9981199502944946,0.999230682849884,140,1157.7392578125,5.843298315434459,5.843298315434459,1.998461365699768,0.3378995433789954,0.3424657534246575,0.319634703196347
5,llm_strict_generative_coherence,0.0005,20,0.9981903278664367,3659252.1894977167,3060894.73630137,-0.9981903278664367,0.0,0.0,fedyogi,1.0,0.5,1.0,5.855070431123988,4.438393413533507,False,True,True,balanced,0.05,,,,,,,,,,,client_reported,final_round,0.9986979961395264,148,1230.05341796875,6.556570011420409,6.556570011420409,1.9973959922790527,0.9974764585494995,150,1248.116259765625,7.191705490121197,7.191705490121197,1.994952917098999,0.9984185099601746,140,1059.840380859375,5.4465600932424865,5.4465600932424865,1.9968370199203491,0.3378995433789954,0.3424657534246575,0.319634703196347
